drug,best_params,cv_score,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,class_distribution
alcohol,"{'rfc__max_depth': None, 'rfc__n_estimators': 200}",0.9651255905058187,0.9611307420494699,0.9611307420494699,1.0,0.9801801801801802,0.556567513368984,"{1: 1817, 0: 68}"
amphet,"{'rfc__max_depth': 10, 'rfc__n_estimators': 100}",0.7262962322848254,0.7190812720848057,0.5925925925925926,0.5773195876288659,0.5848563968668408,0.7732513025163508,"{0: 1206, 1: 679}"
amyl,"{'rfc__max_depth': 20, 'rfc__n_estimators': 50}",0.808958405346238,0.8144876325088339,0.5714285714285714,0.1111111111111111,0.18604651162790697,0.716500889535824,"{0: 1515, 1: 370}"
benzos,"{'rfc__max_depth': 10, 'rfc__n_estimators': 200}",0.6982400046088258,0.7243816254416962,0.6927083333333334,0.5782608695652174,0.6303317535545023,0.7682971014492752,"{0: 1116, 1: 769}"
caff,"{'rfc__max_depth': None, 'rfc__n_estimators': 50}",0.9802886277220878,0.980565371024735,0.980565371024735,1.0,0.9901873327386262,0.6411957411957412,"{1: 1848, 0: 37}"
cannabis,"{'rfc__max_depth': None, 'rfc__n_estimators': 100}",0.7960508123055652,0.8144876325088339,0.8654822335025381,0.8676844783715013,0.866581956797967,0.8880333583373781,"{1: 1265, 0: 620}"
choc,"{'rfc__max_depth': None, 'rfc__n_estimators': 50}",0.9787734762069362,0.9876325088339223,0.9876325088339223,1.0,0.9937777777777778,0.420265780730897,"{1: 1850, 0: 35}"
coke,"{'rfc__max_depth': 10, 'rfc__n_estimators': 100}",0.6967421361908054,0.7031802120141343,0.6022727272727273,0.5196078431372549,0.5578947368421052,0.7410762647600476,"{0: 1198, 1: 687}"
crack,"{'rfc__max_depth': None, 'rfc__n_estimators': 50}",0.898407074547759,0.8939929328621908,0.5,0.05,0.09090909090909091,0.722760210803689,"{0: 1694, 1: 191}"
ecstasy,"{'rfc__max_depth': 10, 'rfc__n_estimators': 200}",0.7558618504435995,0.7173144876325088,0.6382978723404256,0.6666666666666666,0.6521739130434783,0.8028804170739654,"{0: 1134, 1: 751}"
heroin,"{'rfc__max_depth': 20, 'rfc__n_estimators': 50}",0.890076621730614,0.8763250883392226,0.5,0.07142857142857142,0.125,0.7315524193548388,"{0: 1673, 1: 212}"
ketamine,"{'rfc__max_depth': 10, 'rfc__n_estimators': 200}",0.8119800668279755,0.8144876325088339,0.6,0.02830188679245283,0.05405405405405406,0.7244667760459391,"{0: 1535, 1: 350}"
legalh,"{'rfc__max_depth': 10, 'rfc__n_estimators': 100}",0.7937982486461574,0.7826855123674912,0.776255707762557,0.6967213114754098,0.734341252699784,0.858784746970777,"{0: 1123, 1: 762}"
lsd,"{'rfc__max_depth': 10, 'rfc__n_estimators': 200}",0.8149873257287708,0.7579505300353356,0.5906432748538012,0.6011904761904762,0.5958702064896755,0.8151770758554677,"{0: 1328, 1: 557}"
meth,"{'rfc__max_depth': 20, 'rfc__n_estimators': 50}",0.8112253715865883,0.784452296819788,0.5789473684210527,0.3283582089552239,0.41904761904761906,0.7971773079049198,"{0: 1468, 1: 417}"
mushrooms,"{'rfc__max_depth': 10, 'rfc__n_estimators': 200}",0.7710277681760572,0.7402826855123675,0.6650943396226415,0.6497695852534562,0.6573426573426573,0.8107033921804232,"{0: 1191, 1: 694}"
nicotine,"{'rfc__max_depth': 20, 'rfc__n_estimators': 100}",0.7232688097707108,0.7314487632508834,0.7522935779816514,0.8817204301075269,0.8118811881188119,0.7548497949229576,"{1: 1264, 0: 621}"
semer,"{'rfc__max_depth': None, 'rfc__n_estimators': 50}",0.9977272727272727,0.9946996466431095,0.0,0.0,0.0,0.4573712255772647,"{0: 1879, 1: 6}"
vsa,"{'rfc__max_depth': 10, 'rfc__n_estimators': 50}",0.8794590390597996,0.8710247349823321,0.6666666666666666,0.02702702702702703,0.05194805194805195,0.7829048560755877,"{0: 1655, 1: 230}"
